TweetId,Text,Username,Language,Hashtags,Cords,ReplyCount,RetweetCount,LikeCount,QuoteCount,Source,Media,Lat,Lon,Hour,Year,Month,MonthName,MonthDay,DayName,Week,Date,Time
1630598831090941953,How do I register my own complaint please. There was no voting in my polling unit. The INEC officials did not come at all. Anyone with useful information on how to fo about it should tell me.,obiomaIgwilo,en,,"Coordinates(longitude=6.351687, latitude=4.3176116)",0,0,0,0,Twitter for Android,,4.3176116,6.351687,16,2023,2,February,28,Tuesday,9,2023-02-28,16:00:31
1630598729097965569,"I also hope that if it is one of the cases LP will bring to the courts, it should be just that - ONE of the cases. Let’s tackle them on all fronts - from voter suppression to violence to INEC not showing up &amp; disenfranchising voters to INEC staff rigging to the BVAS iRev failure.",Chydee,en,,"Coordinates(longitude=2.7063037, latitude=6.3703877)",1,0,7,0,Twitter for iPhone,,6.3703877,2.7063037,16,2023,2,February,28,Tuesday,9,2023-02-28,16:00:06
1630598279527317505,"@ceeroma007 Bro leave this matter of working together na. 

Na by force to work together?

The issue is INEC not living up to expectation. Why desist from what was constitutionally legal and binding?

These is d real issues. Oh well, again, it's Nigeria politics and so things remain d same.",Deochris749,en,,"Coordinates(longitude=8.544958, latitude=47.435997)",0,0,0,0,Twitter for Android,,47.435997,8.544958,15,2023,2,February,28,Tuesday,9,2023-02-28,15:58:19
1630597851293024259,"This summation does not Add up, you people should fear God, worthless human beings working with Inec, finish and give us our mandate and let guns be legalize in the country @AIT_Online @AlJazeera @BBC @MBuhari https://t.co/ujhyRZPdKO",Shining_Star50,en,,"Coordinates(longitude=6.7786135, latitude=8.4504401)",1,0,1,0,Twitter for Android,"[Photo(previewUrl='https://pbs.twimg.com/media/FqEMGqPWAAEeS17?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEMGqPWAAEeS17?format=jpg&name=orig', altText=None)]",8.4504401,6.7786135,15,2023,2,February,28,Tuesday,9,2023-02-28,15:56:37
1630597774956806147,"Kwankwaso refuse to Join Labour Party and PDP in calling for cancellation, backs INEC for doing a fantastic job https://t.co/iT1Gg3jU5e",OfficialPigo,en,,"Coordinates(longitude=7.3045544, latitude=8.961887)",18,99,411,9,Twitter for Android,"[Photo(previewUrl='https://pbs.twimg.com/media/FqEMCMdWwAAnZym?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEMCMdWwAAnZym?format=jpg&name=orig', altText=None)]",8.961887,7.3045544,15,2023,2,February,28,Tuesday,9,2023-02-28,15:56:19
1630597465438052353,This is a disgrace to INEC as a whole,Onyiachikamso11,en,,"Coordinates(longitude=7.4542209, latitude=6.377634)",0,0,0,0,Twitter for iPhone,,6.377634,7.4542209,15,2023,2,February,28,Tuesday,9,2023-02-28,15:55:05
1630597460371415047,"Awon eleya, so now I see the reason they were insisting on inec to upload the results online so that they can ack the server nd manipulate the results. Awon egbere gbogbo😭😭😭🤣😂🤣😂",draeyoflagos001,en,,"Coordinates(longitude=3.2131467, latitude=6.4278856)",1,0,0,0,Twitter for iPhone,,6.4278856,3.2131467,15,2023,2,February,28,Tuesday,9,2023-02-28,15:55:04
1630597109849137152,He should be the next INEC chairman https://t.co/txJ3qSIG66,dofficial_vela,en,,"Coordinates(longitude=-0.422572, latitude=53.719616)",0,0,0,0,Twitter for iPhone,"[Photo(previewUrl='https://pbs.twimg.com/media/FqELbdMWIAEgMC8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqELbdMWIAEgMC8?format=jpg&name=orig', altText=None)]",53.719616,-0.422572,15,2023,2,February,28,Tuesday,9,2023-02-28,15:53:40
1630597033512796162,@inecnigeria @inecnigeria all of u just dey play for that INEC office but we are coming.,AghaErnestc,en,,"Coordinates(longitude=6.6356497, latitude=5.7092317)",0,0,1,0,Twitter for Android,,5.7092317,6.6356497,15,2023,2,February,28,Tuesday,9,2023-02-28,15:53:22
1630596248930492418,The BVAS should be enabled to bring of options of the candidate and part for us to select and submit. It should also be enabled to send each vote tally to a central display screen in real time. #INEC #NigerianElections2023 #UnitedNations #Inecresults,UmehVictorC,en,"['INEC', 'NigerianElections2023', 'UnitedNations', 'Inecresults']","Coordinates(longitude=7.3045544, latitude=8.961887)",0,1,2,0,Twitter for Android,,8.961887,7.3045544,15,2023,2,February,28,Tuesday,9,2023-02-28,15:50:15
1630595786571407360,@Nairametrics Boko Haram also called on Buhari to step down. He ignored the criminal rabble. That's what inec chair ought do to these duo..,ahmadu5_isah,en,,"Coordinates(longitude=7.3566227, latitude=10.4252617)",0,0,1,0,Twitter for Android,,10.4252617,7.3566227,15,2023,2,February,28,Tuesday,9,2023-02-28,15:48:25
